City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,touros,-5.1989,-35.4608,24.83,87,82,3.29,BR,1684975962
83,east end,34.5507,-92.341,26.94,71,82,2.0,US,1684975962
84,guiuan,11.0333,125.7247,28.99,71,100,1.69,PH,1684975963
85,lazaro cardenas,17.9583,-102.2,28.25,71,100,3.77,MX,1684975719
86,mthatha,-31.5889,28.7844,13.3,46,100,2.95,ZA,1684975963
87,usogorsk,63.4106,48.6872,15.87,69,100,2.63,RU,1684975964
88,mar del plata,-38.0023,-57.5575,16.72,98,100,0.0,AR,1684975747
89,luderitz,-26.6481,15.1594,12.42,84,50,2.53,NA,1684975964
90,punta arenas,-53.15,-70.9167,2.84,67,100,9.83,CL,1684975927
91,aykhal,66.0,111.5,0.02,88,100,6.32,RU,1684975965
92,novyy urgal,51.0736,132.5642,20.92,51,100,1.98,RU,1684975966
93,luena,-11.7833,19.9167,15.52,65,5,1.28,AO,1684975966
94,sakaiminato,35.55,133.2333,19.99,42,75,2.06,JP,1684975966
95,naze,28.3667,129.4833,23.51,68,39,4.56,JP,1684975967
96,along,28.1667,94.7667,22.15,92,79,0.22,IN,1684975967
97,champerico,14.3,-91.9167,28.3,71,99,2.9,GT,1684975967
98,sandnessjoen,66.0217,12.6316,5.36,89,100,4.02,NO,1684975968
99,choibalsan,48.0667,114.5,15.62,34,23,6.29,MN,1684975968
100,iskateley,67.6803,53.1512,13.78,87,100,3.42,RU,1684975969
101,mogocha,53.7333,119.7667,12.65,43,100,2.52,RU,1684975969
102,puerto natales,-51.7236,-72.4875,0.08,84,49,2.87,CL,1684975969
103,vorgashor,67.5833,63.95,10.29,75,100,5.03,RU,1684975970
104,slave lake,55.2834,-114.769,13.08,67,54,3.66,CA,1684975970
105,enewetak,11.3474,162.3373,27.85,77,100,6.93,MH,1684975970
106,whakatane,-37.9585,176.9854,17.16,70,81,1.34,NZ,1684975971
107,tsiombe,-25.3,45.4833,16.51,68,1,2.38,MG,1684975971
108,harstad,68.799,16.5293,5.64,88,40,14.75,NO,1684975971
109,puerto ayacucho,5.6639,-67.6236,24.65,90,100,1.02,VE,1684975972
110,jacmel,18.2342,-72.5347,27.91,82,1,0.93,HT,1684975972
111,pariaman,-0.619,100.12,26.03,81,29,0.97,ID,1684975972
112,ilulissat,69.2167,-51.1,1.01,47,100,3.6,GL,1684975973
113,biltine,14.5333,20.9167,32.77,28,14,2.44,TD,1684975973
114,port shepstone,-30.7414,30.455,17.74,55,10,3.74,ZA,1684975973
115,oranjemund,-28.55,16.4333,12.59,84,0,3.82,NA,1684975974
